FAC_ID,FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS
58897,1400,KKJL,CA,SAN LUIS OBISPO,1000,1000,,,35.2641,-120.6666,LICEN,"KKCB, KIXT, KIID",San Luis Obispo,06079
36200,910,WAAF,PA,SCRANTON,900,440,,,41.4095,-75.6666,LICEN,"WGBI, WBZU",Lackawanna,42069
33698,1340,KSEK,KS,PITTSBURG,1000,1000,,,37.3956,-94.6786,LICEN,"KNZS, KSEK, KPHN, KNHN",Crawford,20037
32298,1490,WCHM,GA,CLARKESVILLE,790,790,,,34.6076,-83.5374,LICEN,,Habersham,13137
35061,570,KLIF,TX,DALLAS,5000,2400,,,32.9448,-96.9406,LICEN,"KLIF, KYII",Dallas,48113
14652,660,WXIC,OH,WAVERLY,1000,,,,39.1306,-83.0127,LICEN,WPKO,Pike,39131
39858,1320,KMAQ,IA,MAQUOKETA,500,135,,,42.0906,-90.6288,LICEN,,Jackson,19097
48497,1460,WXRQ,TN,MOUNT PLEASANT,1000,169,,,35.5226,-87.1928,LICEN,,Maury,47119
48497,1460,WXRQ,TN,MOUNT PLEASANT,600,240,,,35.5407,-87.2732,LICEN,,Maury,47119
71660,580,WCHS,WV,CHARLESTON,5000,5000,,,38.3643,-81.7679,LICEN,,Kanawha,54039
54809,800,WJAT,GA,SWAINSBORO,1000,500,,,32.5821,-82.356,LICEN,,Emanuel,13107
74207,950,WXGI,VA,RICHMOND,3900,45,,,37.5146,-77.5075,LICEN,"WXGI, WJDK",Richmond,51760
74124,1330,WTRE,IN,GREENSBURG,500,33,,,39.3281,-85.5016,LICEN,,Decatur,18031
160953,1450,WLUX,WV,DUNBAR,1000,1000,,,38.3493,-81.7479,LICEN,,Kanawha,54039
25995,1480,WPWC,VA,DUMFRIES-TRIANGLE,5000,500,,,38.5684,-77.3386,LICEN,,Prince William,51153
1125,1240,WLLV,KY,LOUISVILLE,530,530,,,38.2308,-85.8222,LICEN,WINN,Jefferson,21111
1925,1220,KTMZ,CA,POMONA,250,250,,,34.0197,-117.7184,LICSL,"KLIT, KTSJ, KWPA, KWKU",San Bernardino,06071
33057,1230,KWTX,TX,WACO,1000,1000,,,31.5285,-97.1208,LICEN,,McLennan,48309
12112,1250,KKDZ,WA,SEATTLE,5000,,,,47.5634,-122.361,LICEN,"KYAC, KKFX",King,53033
